key,value
"schema_version","1"
"completed","true"
"started_utc","2026-09-11T00:41:16.960924214Z"
"finished_utc","2026-09-11T00:41:30.243657341Z"
"seed","20260910"
"seats","6"
"remote_guests","5"
"warmup_trials_per_suite","2"
"sample_trials_per_suite","5"
"completed_authority_trials","7"
"completed_tls_trials","7"
"observed_tls_intervals","14"
"idle_requested_ms","1000"
"java_version","21.0.12.1"
"java_vendor","Eclipse Adoptium"
"java_vm_name","OpenJDK 64-Bit Server VM"
"java_vm_version","21.0.12.1+1-LTS"
"kotlin_version","2.4.20"
"os_name","Linux"
"os_version","6.17.0-1022-azure"
"os_arch","amd64"
"available_processors","4"
"max_heap_bytes","4192206848"
"clock","System.nanoTime elapsed nanoseconds; not CPU time"
"policy","All six seats play one received card, then challenge when available, otherwise play first card; host advances ended rounds"
"randomness","Fresh Kotlin Random(seed) per table; same seed for warmup and sample trials"
"tls_security_randomness","Real SecureRandom credentials and TLS identities; only test game RNG is seeded"
"reference_rule_scope","Separate real LastLightEngine call before HostAuthority.handle; do not add durations"
"authority_scope","HostAuthority.handle (INITIAL uses initialDispatch), including real rules and recipient view construction"
"fanout_scope","Serial in-memory remote encode/decode loop including routing/timer/record overhead; no sockets"
"host_local_scope","Host commands and deliveries use objects; blank codec fields mean no bytes encoded"
"tls_scope","Application payload at successful send and incoming over real TLS; one JVM with six controllers"
"tls_exclusions","Setup/admission; keepalives; four-byte framing; TLS records/handshake; TCP/IP/socket bytes"
"tls_duration_scope","Fixture idle/full-match elapsed time including controller work, convergence polling and assertions"
"byte_accounting","Each delivery appears at sender and receiver; sum sent OR received, never both"
"output_privacy","Fixed categories, counts and durations only; no cards, DTOs, credentials, hosts or environment dump"
"qualification","Exploratory JVM workload measurements; no device-performance threshold or hardware qualification"
